"In political matters people talk of ""the left"" and ""the right"". How would you place your views on this scale? (SHOW SCREEN) – (INT.: DO NOT PROMPT)",Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Generation,Generation,Generation,Generation,Generation,Generation,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU
n/a,n/a,Man,Woman, 15-24, 25-39, 40-54, 55 +, 15-24, 25-34,35-44,45-54,55-64,65-74,75+,Before 1928,1928 - 1945,Total 'Before 1946',"1946 - 1964 ""BB""","1965 - 1980 ""X""","After 1980 ""Y""",15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2.0,3.0,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative
5,7211,3390,3821,871,1788,1814,2738,871,1147,1237,1218,1058,1018,662,11,894,905,2066,1939,2300,1261,3260,2066,527,469,777,820,1819,394,418,1986,527,3778,804,1501,508,568,2109,467,2189,2393,1446,2373.0,1375.0,2016,502,1593,4996,1928,960,3566,500,55,4734,2477,2286,3271,1653,5376,739,945,2226,317,4547,121,584,2652,1944,2031,698,3293,1306,1914,3048,3734,4272,2693,0,7211,0,652,3473,3062,6251,927,2822,3182,1101
5,0.26,0.25,0.26,0.24,0.28,0.26,0.25,0.24,0.28,0.27,0.25,0.26,0.25,0.25,0.13,0.25,0.25,0.26,0.26,0.26,0.27,0.28,0.24,0.22,0.21,0.25,0.24,0.3,0.26,0.24,0.26,0.22,0.27,0.24,0.25,0.27,0.24,0.25,0.28,0.25,0.27,0.26,0.25,0.27,0.26,0.24,0.24,0.27,0.27,0.24,0.27,0.2,0.25,0.25,0.27,0.28,0.26,0.23,0.26,0.27,0.23,0.22,0.23,0.29,0.2,0.17,0.27,0.25,0.28,0.18,0.27,0.27,0.27,0.27,0.25,0.27,0.24,- ,0.73,- ,0.19,0.26,0.27,0.27,0.22,0.26,0.28,0.23
6,2618,1372,1245,273,552,759,1034,273,323,468,520,385,393,255,4,355,359,764,798,698,388,1101,893,201,234,321,412,487,132,103,726,201,1476,304,469,155,195,682,138,905,875,493,964.0,458.0,703,125,583,1882,480,378,1352,313,23,1889,729,874,1136,605,1937,307,328,925,124,1520,48,340,974,824,479,430,1315,496,377,1332,1211,1725,852,0,2618,0,368,1436,810,2319,294,1129,1079,387
6,0.09,0.1,0.09,0.07,0.09,0.11,0.1,0.07,0.08,0.1,0.11,0.09,0.1,0.1,0.05,0.1,0.1,0.09,0.11,0.08,0.08,0.09,0.1,0.08,0.11,0.1,0.12,0.08,0.09,0.06,0.09,0.08,0.1,0.09,0.08,0.08,0.08,0.08,0.08,0.11,0.1,0.09,0.1,0.09,0.09,0.06,0.09,0.1,0.07,0.09,0.11,0.12,0.11,0.1,0.08,0.11,0.09,0.08,0.1,0.12,0.08,0.09,0.09,0.1,0.08,0.1,0.1,0.11,0.07,0.11,0.11,0.1,0.05,0.12,0.08,0.11,0.08,- ,0.27,- ,0.11,0.11,0.07,0.1,0.07,0.1,0.09,0.08
7,2064,1138,926,184,454,597,829,184,326,320,406,297,316,216,6,297,303,587,626,547,273,890,757,116,206,303,273,432,83,80,571,116,1201,208,343,113,179,561,74,715,694,421,741.0,318.0,584,105,485,1447,366,331,1033,273,28,1561,503,665,921,477,1527,198,308,813,91,1116,44,265,772,611,416,312,1003,420,329,913,1064,1333,691,0,0,2064,286,1084,687,1775,278,768,833,438
7,0.07,0.08,0.06,0.05,0.07,0.09,0.08,0.05,0.08,0.07,0.09,0.07,0.08,0.08,0.07,0.08,0.08,0.07,0.08,0.06,0.06,0.08,0.09,0.05,0.09,0.1,0.08,0.07,0.05,0.04,0.07,0.05,0.08,0.06,0.06,0.06,0.07,0.07,0.04,0.08,0.08,0.07,0.08,0.06,0.08,0.05,0.07,0.08,0.05,0.08,0.08,0.11,0.13,0.08,0.05,0.08,0.07,0.07,0.08,0.07,0.07,0.08,0.06,0.07,0.07,0.08,0.08,0.08,0.06,0.08,0.08,0.09,0.05,0.08,0.07,0.08,0.06,- ,- ,0.43,0.09,0.08,0.06,0.08,0.07,0.07,0.07,0.09
8,1411,758,653,136,307,404,563,136,180,254,278,177,259,127,4,187,192,420,446,353,181,617,493,81,173,202,213,236,51,52,403,81,805,181,223,91,100,346,68,489,497,249,504.0,307.0,350,67,304,1006,253,153,736,204,18,1086,325,468,618,324,1075,127,180,581,83,725,22,243,517,360,291,277,682,231,221,656,686,892,475,0,0,1411,226,744,436,1271,125,552,516,319
8,0.05,0.06,0.04,0.04,0.05,0.06,0.05,0.04,0.04,0.05,0.06,0.04,0.06,0.05,0.05,0.05,0.05,0.05,0.06,0.04,0.04,0.05,0.06,0.03,0.08,0.07,0.06,0.04,0.03,0.03,0.05,0.03,0.06,0.06,0.04,0.05,0.04,0.04,0.04,0.06,0.06,0.04,0.05,0.06,0.05,0.03,0.04,0.06,0.04,0.04,0.06,0.08,0.08,0.06,0.04,0.06,0.05,0.04,0.05,0.05,0.04,0.06,0.06,0.04,0.04,0.07,0.05,0.05,0.04,0.07,0.06,0.05,0.03,0.06,0.05,0.06,0.04,- ,- ,0.29,0.07,0.06,0.04,0.05,0.03,0.05,0.05,0.07
9,404,202,202,40,88,101,174,40,51,73,66,63,72,40,3,51,54,138,111,101,96,161,108,17,49,37,47,74,20,32,128,17,210,37,81,34,40,131,24,119,128,99,134.0,64.0,107,34,103,266,89,72,171,51,9,263,141,97,178,128,266,36,95,182,21,195,6,93,130,83,98,99,164,51,91,181,210,272,129,0,0,404,84,190,129,344,60,158,141,102
9,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.04,0.02,0.02,0.01,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.03,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.02,0.02,0.01,- ,- ,0.09,0.03,0.01,0.01,0.01,0.01,0.02,0.01,0.02
10 DROITE,921,496,424,94,207,186,433,94,141,125,127,172,152,110,4,138,142,326,190,263,184,459,221,28,85,80,139,188,44,63,294,28,527,109,113,71,87,226,45,308,329,187,306.0,171.0,258,84,247,566,228,141,433,79,7,711,210,253,419,249,614,88,193,465,47,392,16,141,293,219,268,127,410,124,259,319,549,496,392,0,0,921,106,443,366,755,156,353,286,269
     RIGHT,0.03,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.02,0.03,0.04,0.04,0.03,0.01,0.04,0.03,0.04,0.03,0.03,0.04,0.04,0.01,0.04,0.03,0.02,0.04,0.04,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.04,0.04,0.03,0.03,0.04,0.03,0.03,0.03,0.04,0.02,0.03,0.03,0.03,0.03,0.03,0.05,0.05,0.03,0.02,0.03,0.04,0.03,0.03,0.04,0.03,0.03,0.02,0.04,0.03,0.04,0.03,0.03,- ,- ,0.19,0.03,0.03,0.04,0.03,0.04,0.03,0.02,0.05
Refus,2397,1021,1376,294,487,585,1031,294,266,413,394,322,388,321,18,402,420,678,651,648,638,1070,451,176,233,116,270,505,197,215,687,176,1142,242,502,154,276,791,140,692,692,487,800.0,461.0,649,231,801,1184,647,338,1029,144,10,1513,884,646,1041,689,1501,262,470,985,165,1145,103,134,724,673,866,141,846,419,992,597,1534,749,1417,0,0,0,106,915,1342,1733,608,652,1098,429
Refusal,0.09,0.08,0.09,0.08,0.08,0.08,0.09,0.08,0.07,0.09,0.08,0.08,0.09,0.12,0.22,0.11,0.12,0.08,0.09,0.08,0.14,0.09,0.05,0.07,0.11,0.04,0.08,0.09,0.13,0.12,0.09,0.07,0.08,0.07,0.08,0.08,0.12,0.09,0.08,0.08,0.08,0.09,0.09,0.09,0.08,0.11,0.12,0.06,0.09,0.08,0.08,0.06,0.04,0.08,0.09,0.08,0.08,0.09,0.07,0.1,0.11,0.1,0.12,0.07,0.17,0.04,0.07,0.09,0.12,0.04,0.07,0.08,0.14,0.05,0.11,0.05,0.13,- ,- ,- ,0.03,0.07,0.12,0.07,0.14,0.06,0.1,0.09
NSP,3496,1387,2109,827,809,656,1204,827,535,508,422,457,424,323,12,416,428,833,744,1491,617,1508,693,531,149,160,286,865,309,328,868,531,1373,464,1001,236,371,1273,334,891,947,638,1033.0,642.0,1183,461,887,1986,1247,478,1238,128,16,1976,1520,1057,1625,810,2299,327,744,1567,247,1562,121,147,1033,970,1346,161,1034,517,1785,958,1936,1379,1659,0,0,0,158,1133,2161,2718,679,1153,1570,567
DK,0.13,0.1,0.15,0.23,0.12,0.09,0.11,0.23,0.13,0.11,0.09,0.11,0.1,0.12,0.15,0.12,0.12,0.1,0.1,0.17,0.13,0.13,0.08,0.22,0.07,0.05,0.09,0.15,0.2,0.19,0.11,0.22,0.1,0.14,0.17,0.12,0.16,0.15,0.2,0.1,0.11,0.11,0.11,0.12,0.15,0.22,0.13,0.11,0.18,0.12,0.1,0.05,0.07,0.11,0.16,0.13,0.13,0.11,0.11,0.12,0.18,0.15,0.18,0.1,0.2,0.04,0.1,0.13,0.19,0.04,0.08,0.11,0.25,0.08,0.13,0.09,0.15,- ,- ,- ,0.05,0.09,0.19,0.12,0.16,0.1,0.14,0.12
Moyenne/Average,5.1,5.1,5,4.9,5,5.1,5.1,4.9,5,5.1,5.1,5,5.2,5.3,5.4,5.2,5.2,5.1,5.1,5,5.2,5.2,5,4.6,5.4,5,5.2,5.1,5.1,4.8,5.1,4.6,5.2,4.9,4.8,5,5.1,4.9,5,5.1,5.2,5,5.1,5.1,5.1,4.9,5.1,5.1,4.9,5,5.2,5.2,5.5,5.2,4.9,5.2,5.1,4.9,5,5.2,5.3,5.3,5.2,5,5.1,4.9,5,5.1,5.2,4.9,5.1,5.1,5.2,5.1,5.1,5.1,5,3,5.3,8,4.9,5.1,5.1,5.1,4.9,5,5.1,5.3
