Could you tell me if…?,Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Generation,Generation,Generation,Generation,Generation,Generation,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU
-,-,Man,Woman,15-24,25-39,40-54,55 +,15-24,25-34,35-44,45-54,55-64,65-74,75+,Before 1928,1928 - 1945,Total 'Before 1946',"1946 - 1964 ""BB""","1965 - 1980 ""X""","After 1980 ""Y""",15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2.0,3.0,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative
TOTAL,28031,13524,14507,3640,6470,7031,10890,3640,4107,4599,4794,4118,4141,2630,84,3565,3649,8120,7535,8726,4694,11788,8518,2435,2184,3057,3379,6005,1528,1771,7672,2435,14176,3332,5948,1882,2372,8528,1675,8651,8857,5630,9491.0,5144.0,7767,2124,6762,18404,7050,4010,13022,2530,222,18692,9339,8208,12503,7288,20464,2704,4131,10184,1400,15849,598,3343,9982,7574,7132,3876,12152,4884,7119,11445,14705,15642,11152,7511,9828,4799,3371,13268,11258,23541,4233,11105,11374,4848
Every day or almost every day,4370,2298,2072,1720,1310,960,380,1720,867,807,595,280,77,23,0,44,44,406,1148,2771,167,1141,1431,1549,320,800,570,651,142,202,135,1549,1509,687,1830,155,62,1811,235,895,1301,512,967.0,1070.0,1821,199,988,3014,705,446,2252,655,52,2713,1657,1058,1729,1577,4370,0,0,1870,26,2456,18,743,1973,924,731,729,1910,709,1022,1944,2094,2612,1517,1345,1434,669,663,2150,1531,3963,378,2155,1632,511
Every day or almost every day,0.16,0.17,0.14,0.47,0.2,0.14,0.04,0.47,0.21,0.17,0.12,0.07,0.02,0.01,0.01,0.01,0.01,0.05,0.15,0.32,0.04,0.1,0.17,0.64,0.15,0.26,0.17,0.11,0.09,0.11,0.02,0.64,0.11,0.21,0.31,0.08,0.03,0.21,0.14,0.1,0.15,0.09,0.1,0.21,0.23,0.09,0.15,0.16,0.1,0.11,0.17,0.26,0.23,0.14,0.18,0.13,0.14,0.22,0.21,- ,- ,0.18,0.02,0.15,0.03,0.22,0.2,0.12,0.1,0.19,0.16,0.15,0.14,0.17,0.14,0.17,0.14,0.18,0.15,0.14,0.2,0.16,0.14,0.17,0.09,0.19,0.15,0.11
Two or three times a week,1168,623,544,341,347,292,188,341,226,214,199,123,60,5,0,13,13,202,345,607,63,385,417,285,104,182,165,234,25,71,103,285,439,209,412,65,17,438,56,253,395,182,264.0,302.0,420,80,304,734,181,158,613,144,8,753,415,262,536,370,1024,144,0,505,6,634,23,186,522,292,168,188,538,199,243,519,576,697,413,331,411,214,192,572,400,1024,130,552,428,169
Two or three times a week,0.04,0.05,0.04,0.09,0.05,0.04,0.02,0.09,0.05,0.05,0.04,0.03,0.01,- ,- ,- ,- ,0.02,0.04,0.07,0.01,0.03,0.05,0.12,0.05,0.06,0.05,0.04,0.02,0.04,0.01,0.12,0.03,0.06,0.07,0.03,0.01,0.05,0.03,0.03,0.04,0.03,0.03,0.06,0.05,0.04,0.04,0.04,0.03,0.04,0.05,0.06,0.04,0.04,0.04,0.03,0.04,0.05,0.05,0.05,- ,0.05,- ,0.04,0.04,0.06,0.05,0.04,0.02,0.05,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.05,0.04,0.05,0.06,0.04,0.03,0.04,0.03,0.05,0.04,0.04
About once a week,969,500,469,207,356,258,149,207,241,198,175,93,53,3,0,10,10,171,285,503,41,381,411,118,95,178,173,231,28,65,82,118,394,177,284,69,23,311,66,242,329,156,251.0,212.0,350,58,314,555,150,105,543,109,18,623,346,263,411,295,857,112,0,481,12,457,18,154,397,247,171,163,474,168,164,474,449,612,330,299,335,161,145,515,305,805,156,446,353,163
About once a week,0.03,0.04,0.03,0.06,0.06,0.04,0.01,0.06,0.06,0.04,0.04,0.02,0.01,- ,- ,- ,- ,0.02,0.04,0.06,0.01,0.03,0.05,0.05,0.04,0.06,0.05,0.04,0.02,0.04,0.01,0.05,0.03,0.05,0.05,0.04,0.01,0.04,0.04,0.03,0.04,0.03,0.03,0.04,0.05,0.03,0.05,0.03,0.02,0.03,0.04,0.04,0.08,0.03,0.04,0.03,0.03,0.04,0.04,0.04,- ,0.05,0.01,0.03,0.03,0.05,0.04,0.03,0.03,0.04,0.04,0.03,0.02,0.04,0.03,0.04,0.03,0.04,0.03,0.03,0.04,0.04,0.03,0.03,0.04,0.04,0.03,0.03
Two or three times a month,772,402,369,141,297,213,120,141,197,170,143,73,35,11,0,18,18,128,233,392,32,352,285,86,72,109,180,190,18,73,46,86,348,131,221,40,10,239,31,229,251,109,241.0,191.0,230,58,226,474,104,122,367,120,34,498,273,153,389,229,698,74,0,381,3,383,5,114,363,199,95,160,376,112,124,387,342,420,315,253,227,173,134,420,216,696,71,398,244,119
Two or three times a month,0.03,0.03,0.03,0.04,0.05,0.03,0.01,0.04,0.05,0.04,0.03,0.02,0.01,0.01,- ,0.01,0.01,0.02,0.03,0.04,0.01,0.03,0.03,0.03,0.03,0.04,0.05,0.03,0.01,0.04,0.01,0.03,0.02,0.04,0.04,0.02,- ,0.03,0.02,0.03,0.03,0.02,0.03,0.04,0.03,0.03,0.03,0.03,0.01,0.03,0.03,0.05,0.15,0.03,0.03,0.02,0.03,0.03,0.04,0.03,- ,0.04,- ,0.02,0.01,0.03,0.04,0.03,0.01,0.04,0.03,0.02,0.02,0.03,0.02,0.03,0.03,0.03,0.02,0.04,0.04,0.03,0.02,0.03,0.02,0.04,0.02,0.02
