Which of the following goods do you have? (MULTIPLE ANSWERS POSSIBLE),Participants/Percent,Gender,Gender,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Age,Generation,Generation,Generation,Generation,Generation,Generation,Education (End of),Education (End of),Education (End of),Education (End of),Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Socio-professional category,Marital status ,Marital status ,Marital status ,Marital status ,Marital status ,Household situation,Household situation,Household situation,Household situation,Household composition,Household composition,Household composition,Household composition,Difficulties paying bills,Difficulties paying bills,Difficulties paying bills,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Consider belonging to,Ownership house/ apartment,Ownership house/ apartment,Subjective urbanisation,Subjective urbanisation,Subjective urbanisation,Use of the Internet,Use of the Internet,Use of the Internet,Landline/ mobile,Landline/ mobile,Landline/ mobile,Landline/ mobile,Opinion leadership index,Opinion leadership index,Opinion leadership index,Opinion leadership index,Political interest index,Political interest index,Political interest index,Political interest index,My voice counts in the EU,My voice counts in the EU,My voice counts in (OUR COUNTRY),My voice counts in (OUR COUNTRY),Left-right political scale,Left-right political scale,Left-right political scale,Talk about European political matters,Talk about European political matters,Talk about European political matters,Satis. life you lead,Satis. life you lead,Image of EU,Image of EU,Image of EU
-,-,Man,Woman,15-24,25-39,40-54,55 +,15-24,25-34,35-44,45-54,55-64,65-74,75+,Before 1928,1928 - 1945,Total 'Before 1946',"1946 - 1964 ""BB""","1965 - 1980 ""X""","After 1980 ""Y""",15-,16-19,20+,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,1,2.0,3.0,4+,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Yes,No,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,Mobile only,Landline only,Landline & mobile,No tel.,+ +,+,-,- -,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Fre-quently,Occasio-nally,Never,Satisfied,Not satisfied,Positive,Neutral,Negative
Laptop,17283,8767,8516,2921,4876,4993,4494,2921,3119,3386,3362,2284,1621,589,11,904,914,4151,5449,6769,1350,7022,6615,2094,1661,2535,2561,3924,720,998,2790,2094,8791,2465,4147,1054,601,4793,1008,4793,6463,2502,5240.0,3740.0,5802,918,3653,12296,3260,2288,8804,2107,192,11671,5612,4868,7714,4684,15551,1317,394,6113,189,10900,81,2511,6834,4488,3451,2806,7882,3075,3520,7686,8648,10504,6180,5006,6162,3011,2490,8780,5956,15471,1718,7594,6681,2731
Laptop,0.62,0.65,0.59,0.8,0.75,0.71,0.41,0.8,0.76,0.74,0.7,0.55,0.39,0.22,0.13,0.25,0.25,0.51,0.72,0.78,0.29,0.6,0.78,0.86,0.76,0.83,0.76,0.65,0.47,0.56,0.36,0.86,0.62,0.74,0.7,0.56,0.25,0.56,0.6,0.55,0.73,0.44,0.55,0.73,0.75,0.43,0.54,0.67,0.46,0.57,0.68,0.83,0.86,0.62,0.6,0.59,0.62,0.64,0.76,0.49,0.1,0.6,0.14,0.69,0.14,0.75,0.68,0.59,0.48,0.72,0.65,0.63,0.49,0.67,0.59,0.67,0.55,0.67,0.63,0.63,0.74,0.66,0.53,0.66,0.41,0.68,0.59,0.56
Tablet,11630,5925,5705,1978,3349,3593,2710,1978,2064,2513,2364,1411,978,322,4,521,525,2617,3900,4588,838,4587,4606,1435,1162,1899,1720,2588,545,630,1649,1435,6140,1696,2671,643,331,2865,780,3030,4805,1292,3312.0,2536.0,4490,502,2485,8397,2133,1316,6059,1572,122,8237,3392,3191,5257,3167,10810,614,194,3604,108,7867,51,1767,4644,2894,2325,1956,4998,2178,2497,5055,5950,6982,4243,3568,4167,2103,1745,5598,4255,10615,971,4994,4505,1931
Tablet,0.41,0.44,0.39,0.54,0.52,0.51,0.25,0.54,0.5,0.55,0.49,0.34,0.24,0.12,0.04,0.15,0.14,0.32,0.52,0.53,0.18,0.39,0.54,0.59,0.53,0.62,0.51,0.43,0.36,0.36,0.21,0.59,0.43,0.51,0.45,0.34,0.14,0.34,0.47,0.35,0.54,0.23,0.35,0.49,0.58,0.24,0.37,0.46,0.3,0.33,0.47,0.62,0.55,0.44,0.36,0.39,0.42,0.43,0.53,0.23,0.05,0.35,0.08,0.5,0.09,0.53,0.47,0.38,0.33,0.5,0.41,0.45,0.35,0.44,0.4,0.45,0.38,0.48,0.42,0.44,0.52,0.42,0.38,0.45,0.23,0.45,0.4,0.4
Smartphone,20257,10110,10147,3402,5899,5934,5022,3402,3788,4081,3963,2644,1818,561,7,860,867,4834,6497,8059,1890,8638,7172,2318,1911,2771,2998,4918,993,1312,3035,2318,10227,2895,5038,1201,653,5642,1250,5515,7607,2917,6101.0,4377.0,6861,1225,4834,13711,4187,2712,10232,2226,182,13425,6832,5594,9032,5613,18099,1510,595,7653,127,12416,61,2775,7944,5391,4147,3077,9086,3566,4528,8786,10319,11841,7663,5770,7212,3442,2694,10060,7434,17832,2325,8694,8070,3174
Smartphone,0.72,0.75,0.7,0.93,0.91,0.84,0.46,0.93,0.92,0.89,0.83,0.64,0.44,0.21,0.08,0.24,0.24,0.6,0.86,0.92,0.4,0.73,0.84,0.95,0.88,0.91,0.89,0.82,0.65,0.74,0.4,0.95,0.72,0.87,0.85,0.64,0.28,0.66,0.75,0.64,0.86,0.52,0.64,0.85,0.88,0.58,0.71,0.74,0.59,0.68,0.79,0.88,0.82,0.72,0.73,0.68,0.72,0.77,0.88,0.56,0.14,0.75,0.09,0.78,0.1,0.83,0.8,0.71,0.58,0.79,0.75,0.73,0.64,0.77,0.7,0.76,0.69,0.77,0.73,0.72,0.8,0.76,0.66,0.76,0.55,0.78,0.71,0.65
An Internet connection at home,21075,10465,10610,3249,5572,5954,6300,3249,3557,3953,4016,3044,2372,883,11,1339,1350,5667,6407,7651,1980,9012,7603,2236,1874,2845,2914,4874,992,1262,4077,2236,11005,2795,4826,1360,872,5728,1330,6101,7700,3170,6714.0,4348.0,6843,1225,4667,14723,4325,2851,10646,2287,196,14428,6646,5978,9291,5791,18446,1966,648,7140,342,13517,76,2914,8152,5528,4481,3337,9515,3642,4581,9144,10713,12589,7724,5982,7663,3631,2919,10537,7551,18653,2324,8889,8357,3485
An Internet connection at home,0.75,0.77,0.73,0.89,0.86,0.85,0.58,0.89,0.87,0.86,0.84,0.74,0.57,0.34,0.13,0.38,0.37,0.7,0.85,0.88,0.42,0.76,0.89,0.92,0.86,0.93,0.86,0.81,0.65,0.71,0.53,0.92,0.78,0.84,0.81,0.72,0.37,0.67,0.79,0.71,0.87,0.56,0.71,0.85,0.88,0.58,0.69,0.8,0.61,0.71,0.82,0.9,0.89,0.77,0.71,0.73,0.74,0.79,0.9,0.73,0.16,0.7,0.24,0.85,0.13,0.87,0.82,0.73,0.63,0.86,0.78,0.75,0.64,0.8,0.73,0.8,0.69,0.8,0.78,0.76,0.87,0.79,0.67,0.79,0.55,0.8,0.73,0.72
A car,20594,10529,10065,2307,4990,5816,7481,2307,3071,3777,3958,3169,2942,1370,13,2003,2016,6181,6241,6156,2819,8837,7099,1558,1952,2657,2857,4667,1038,982,4884,1558,12008,2576,3667,1188,937,4785,1007,6924,7660,2764,7365.0,4046.0,6419,1176,4682,14274,4321,2841,10436,2182,167,15246,5349,6416,9503,4650,16402,2018,1865,6705,575,13135,179,2729,7841,5574,4450,3186,9477,3602,4330,8711,10796,11949,7994,5705,7424,3740,2717,10390,7421,18183,2276,8449,8231,3582
A car,0.73,0.78,0.69,0.63,0.77,0.83,0.69,0.63,0.75,0.82,0.83,0.77,0.71,0.52,0.16,0.56,0.55,0.76,0.83,0.71,0.6,0.75,0.83,0.64,0.89,0.87,0.85,0.78,0.68,0.55,0.64,0.64,0.85,0.77,0.62,0.63,0.39,0.56,0.6,0.8,0.86,0.49,0.78,0.79,0.83,0.55,0.69,0.78,0.61,0.71,0.8,0.86,0.75,0.82,0.57,0.78,0.76,0.64,0.8,0.75,0.45,0.66,0.41,0.83,0.3,0.82,0.79,0.74,0.62,0.82,0.78,0.74,0.61,0.76,0.73,0.76,0.72,0.76,0.76,0.78,0.81,0.78,0.66,0.77,0.54,0.76,0.72,0.74
